Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,108,9,Some Random Commen with Id 0
1,1,7,95,3,Some Random Commen with Id 1
2,1,7,85,2,Some Random Commen with Id 2
3,1,7,48,5,Some Random Commen with Id 3
4,1,7,93,4,Some Random Commen with Id 4
5,1,7,16,3,Some Random Commen with Id 5
6,1,7,136,0,Some Random Commen with Id 6
7,1,7,87,7,Some Random Commen with Id 7
8,1,7,131,1,Some Random Commen with Id 8
9,1,7,26,8,Some Random Commen with Id 9
10,2,0,42,6,Some Random Commen with Id 10
11,2,0,130,2,Some Random Commen with Id 11
12,2,0,137,0,Some Random Commen with Id 12
13,2,0,68,3,Some Random Commen with Id 13
14,2,0,56,9,Some Random Commen with Id 14
15,2,0,38,2,Some Random Commen with Id 15
16,2,0,148,0,Some Random Commen with Id 16
17,2,0,181,9,Some Random Commen with Id 17
18,2,0,199,5,Some Random Commen with Id 18
19,3,9,99,5,Some Random Commen with Id 19
20,3,9,48,6,Some Random Commen with Id 20
21,3,9,41,4,Some Random Commen with Id 21
22,3,9,77,0,Some Random Commen with Id 22
23,4,0,133,4,Some Random Commen with Id 23
24,4,0,57,0,Some Random Commen with Id 24
25,5,6,118,5,Some Random Commen with Id 25
26,5,6,96,7,Some Random Commen with Id 26
27,5,6,91,7,Some Random Commen with Id 27
28,6,5,109,5,Some Random Commen with Id 28
29,6,5,93,9,Some Random Commen with Id 29
30,6,5,94,9,Some Random Commen with Id 30
31,6,5,133,8,Some Random Commen with Id 31
32,6,5,35,7,Some Random Commen with Id 32
33,6,5,57,0,Some Random Commen with Id 33
34,6,5,69,5,Some Random Commen with Id 34
35,6,5,194,3,Some Random Commen with Id 35
36,7,7,183,3,Some Random Commen with Id 36
37,7,7,121,5,Some Random Commen with Id 37
38,7,7,116,8,Some Random Commen with Id 38
39,7,7,122,4,Some Random Commen with Id 39
40,7,7,112,6,Some Random Commen with Id 40
41,7,7,48,1,Some Random Commen with Id 41
42,7,7,80,6,Some Random Commen with Id 42
43,8,6,9,2,Some Random Commen with Id 43
44,8,6,193,7,Some Random Commen with Id 44
45,8,6,91,3,Some Random Commen with Id 45
46,8,6,123,8,Some Random Commen with Id 46
47,8,6,160,2,Some Random Commen with Id 47
48,8,6,125,4,Some Random Commen with Id 48
49,8,6,196,1,Some Random Commen with Id 49
50,9,2,79,5,Some Random Commen with Id 50
51,9,2,87,1,Some Random Commen with Id 51
52,9,2,30,5,Some Random Commen with Id 52
53,9,2,31,0,Some Random Commen with Id 53
54,10,1,164,2,Some Random Commen with Id 54
55,10,1,115,2,Some Random Commen with Id 55
56,10,1,15,8,Some Random Commen with Id 56
57,10,1,46,8,Some Random Commen with Id 57
58,10,1,44,4,Some Random Commen with Id 58
59,11,3,191,0,Some Random Commen with Id 59
60,11,3,121,4,Some Random Commen with Id 60
61,11,3,14,1,Some Random Commen with Id 61
62,11,3,152,4,Some Random Commen with Id 62
63,11,3,66,8,Some Random Commen with Id 63
64,11,3,170,1,Some Random Commen with Id 64
65,11,3,79,3,Some Random Commen with Id 65
66,11,3,74,9,Some Random Commen with Id 66
67,11,3,11,0,Some Random Commen with Id 67
68,12,4,139,1,Some Random Commen with Id 68
69,12,4,138,4,Some Random Commen with Id 69
70,13,5,87,6,Some Random Commen with Id 70
71,13,5,58,0,Some Random Commen with Id 71
72,13,5,69,8,Some Random Commen with Id 72
73,13,5,100,4,Some Random Commen with Id 73
74,13,5,103,2,Some Random Commen with Id 74
75,13,5,20,6,Some Random Commen with Id 75
76,13,5,171,8,Some Random Commen with Id 76
77,14,5,131,7,Some Random Commen with Id 77
78,14,5,5,3,Some Random Commen with Id 78
79,15,2,185,9,Some Random Commen with Id 79
80,15,2,29,9,Some Random Commen with Id 80
81,15,2,49,7,Some Random Commen with Id 81
82,15,2,176,6,Some Random Commen with Id 82
83,15,2,159,7,Some Random Commen with Id 83
84,16,9,16,7,Some Random Commen with Id 84
85,16,9,1,4,Some Random Commen with Id 85
86,16,9,197,3,Some Random Commen with Id 86
87,16,9,143,6,Some Random Commen with Id 87
88,16,9,51,3,Some Random Commen with Id 88
89,16,9,7,8,Some Random Commen with Id 89
90,17,6,143,8,Some Random Commen with Id 90
91,17,6,76,0,Some Random Commen with Id 91
92,17,6,20,3,Some Random Commen with Id 92
93,17,6,118,7,Some Random Commen with Id 93
94,18,5,170,2,Some Random Commen with Id 94
